cellId,value
0,83410.8301607682
1,83411.4749654873
2,83411.1587679891
3,83404.9075936316
4,83399.1576444758
5,83381.8937507775
6,83401.6862690201
7,83401.3729463046
8,83379.9503122927
9,83456.3034581753
10,83459.6086874848
11,83431.0036782347
12,83423.5208261626
13,83417.5219770633
14,83418.3760407112
15,83419.1888687177
16,83419.3726502736
17,83416.4708764044
18,83418.0870047908
19,83420.9468665201
20,83429.2251152981
21,83427.5513214384
22,83416.0298274604
23,83430.9249939907
24,83443.8551650351
25,83457.9296871307
26,83462.0428214892
27,83414.6879020228
28,83414.5660413591
29,83415.7676515274
30,83415.4868663302
31,83414.5770010838
32,83414.2402224357
33,83413.5319856758
34,83413.609640635
35,83414.3548349302
36,83414.5589685647
37,83414.3226202368
38,83414.1760890452
39,83413.24822896
40,83413.2678825726
41,83412.1008380572
42,83412.0453587942
43,83410.7752586267
44,83411.6816636041
45,83410.6204678533
46,83409.2023601342
47,83407.0528959077
48,83395.3597169721
49,83403.085854732
50,83409.0090181035
51,83412.7158046426
52,83409.9631238791
53,83407.8400743303
54,83412.2402235672
55,83409.8554030221
56,83407.20834517
57,83395.8260063455
58,83405.0338045771
59,83407.5026082
60,83407.1858598354
61,83398.5819776507
62,83405.0163227131
63,83414.1022326436
64,83420.922778576
65,83433.6333435986
66,83414.4483618287
67,83408.8139487603
68,83421.7650888269
69,83414.0386274622
70,83411.1827970898
71,83412.8666388804
72,83414.1375014948
73,83416.775364971
74,83414.6829796143
75,83409.2846599168
76,83407.4994694295
77,83409.4490037381
78,83409.1666052885
79,83409.1405371807
80,83407.3847510233
81,83409.4259177902
82,83409.421143343
83,83411.2028609503
84,83415.9021839164
85,83405.771746538
86,83405.6953356083
87,83412.8111481373
88,83409.7775329267
89,83408.0441070015
90,83409.3438432873
91,83409.8379389138
92,83410.9131008047
93,83410.539997866
94,83412.249047667
95,83412.6624479159
96,83412.2703257608
97,83412.1511548834
98,83412.4950889975
99,83412.5996537879
100,83413.935278483
101,83413.8765294866
102,83414.5043803612
103,83414.6383775544
104,83414.851518138
105,83414.6465132048
106,83416.3362541468
107,83416.596375108
108,83415.4713460825
109,83415.5734429922
110,83413.1536506719
111,83413.1776444521
112,83413.6508752898
113,83413.6170214208
114,83413.5086196758
115,83414.0055047206
116,83413.5029487445
117,83412.9925007598
118,83414.7240573462
119,83415.1877954869
120,83413.1455598733
121,83412.6370203804
122,83410.9002548068
123,83411.9500852066
124,83412.6278965822
125,83411.9341704474
126,83411.8586438733
127,83409.6214314191
128,83410.4148910927
129,83412.2874113871
130,83411.2880052713
131,83409.7400798233
132,83413.8753541866
133,83409.8951311991
134,83405.1710665105
135,83405.0345470355
136,83406.4849785376
137,83408.7564771459
138,83407.5568063161
139,83406.4395204852
140,83409.7101639911
141,83409.5258163718
142,83408.813166104
143,83407.9960748879
144,83408.2282065576
145,83409.0270810803
146,83409.3021793549
147,83409.1316373231
148,83409.9188157695
149,83409.9046999139
150,83409.2762151247
151,83408.1933212181
152,83409.313995169
153,83409.4172874148
154,83406.7491740138
155,83408.1569666517
156,83409.1730922421
157,83402.9057785998
158,83405.2829264068
159,83408.9593870452
160,83408.2732012573
161,83407.7505227156
162,83409.4513759975
163,83409.5244654415
164,83410.8466253671
165,83410.688398259
166,83410.9790226454
167,83411.1331837196
168,83411.8338469022
169,83411.4795162233
170,83413.2823076958
171,83413.6460035393
172,83415.4846808913
173,83415.2032339309
174,83418.8939773797
175,83419.7344519204
176,83420.460676742
177,83420.6623208128
178,83417.8163228757
179,83419.1910745633
180,83412.7963339353
181,83412.4880369464
182,83412.7195949811
183,83411.3307544198
184,83412.3655038953
185,83413.2233303072
186,83415.2480822594
187,83414.6808238837
188,83415.4343610251
189,83415.9080120007
190,83419.476358905
191,83419.7634087924
192,83418.5937892308
193,83418.4484882334
194,83415.9424193126
195,83415.750435807
196,83420.5418973567
197,83420.5599245291
198,83413.9977805695
199,83413.3223615315
200,83411.5149364419
201,83412.8952215547
202,83409.5568990716
203,83407.8966291636
204,83409.4864723639
205,83412.0498130478
206,83414.6629962805
207,83413.6194712513
208,83416.8815256336
209,83418.7892049848
210,83428.4948588507
211,83427.9144142152
212,83428.1180907169
213,83428.7100643077
214,83432.7559167235
215,83432.576388118
216,83418.3045888382
217,83419.4900310873
218,83417.0413543475
219,83416.8640384988
220,83419.242516837
221,83415.9419670477
222,83416.3175594699
223,83430.7579993057
224,83400.929589825
225,83411.7919486116
226,83411.2375764699
227,83413.3648340064
228,83403.4643253476
229,83396.6973513593
230,83379.7918570787
231,83404.0380857293
232,83407.6345385607
233,83395.9543520361
234,83400.5414617902
235,83407.0814084128
236,83402.0057826497
237,83387.4195540111
238,83375.1191170822
239,83395.2141272322
240,83398.9165335795
241,83398.2718485899
242,83403.4369996995
243,83404.6421418117
244,83403.2753679899
245,83401.7214077086
246,83405.6891653287
247,83406.7136953506
248,83406.3272931279
249,83406.0704580811
250,83408.9074073061
251,83408.5369725161
252,83408.6475880584
253,83408.9501914046
254,83409.3759205798
255,83408.7844654811
256,83410.3936139531
257,83411.396572345
258,83410.7982860482
259,83410.2832350982
260,83409.6114234324
261,83409.1503950662
262,83409.862974232
263,83410.0143151523
264,83407.7737123482
265,83404.7550035937
