cellId,value
0,83407.4956092448
1,83408.1411455979
2,83407.8250343802
3,83401.5738983593
4,83395.8238652384
5,83378.5599026313
6,83398.3525185352
7,83398.0385809835
8,83376.6160572237
9,83452.9688859585
10,83456.2740895792
11,83427.6690602633
12,83420.1863321347
13,83414.1870908009
14,83415.0411897273
15,83415.8544576104
16,83416.0383466198
17,83413.1366864504
18,83414.7527101738
19,83417.6127696545
20,83425.8908049165
21,83424.2171111974
22,83412.6957751298
23,83427.5909260861
24,83440.5209359227
25,83454.5953917996
26,83458.7087302747
27,83411.3533499891
28,83411.2316470405
29,83412.4331466893
30,83412.1521960981
31,83411.2418310959
32,83410.9050805558
33,83410.1965196317
34,83410.2741433878
35,83411.0198684879
36,83411.224081364
37,83410.9878913735
38,83410.8412455362
39,83409.9137781232
40,83409.9335424193
41,83408.7669207574
42,83408.7112933329
43,83407.4421701869
44,83408.3484508593
45,83407.287669072
46,83405.8692371999
47,83403.7199795677
48,83392.0268685872
49,83399.7531308267
50,83405.6761789455
51,83409.3849978976
52,83406.6321692925
53,83404.5087545929
54,83408.9092128309
55,83406.5237089099
56,83403.8760723027
57,83392.492298724
58,83401.7001032301
59,83404.1680401196
60,83403.8511705064
61,83395.2471606155
62,83401.6815097262
63,83410.7671534259
64,83417.5877050212
65,83430.2983753345
66,83411.1133489711
67,83405.4782875824
68,83418.4294360885
69,83410.7028878977
70,83407.8470501169
71,83409.5310983454
72,83410.8019033983
73,83413.4401522291
74,83411.3478162588
75,83405.9495427819
76,83404.1643997134
77,83406.1135227009
78,83405.8309285272
79,83405.8046417848
80,83404.0478393389
81,83406.0891848289
82,83406.0846513291
83,83407.8663591173
84,83412.5657625596
85,83402.4353941489
86,83402.3582381111
87,83409.4740116251
88,83406.4404002095
89,83404.706953337
90,83406.0067002008
91,83406.50078861
92,83407.576420423
93,83407.2033349821
94,83408.9132325683
95,83409.3265870912
96,83408.9341133359
97,83408.8149822721
98,83409.1585546957
99,83409.2630968547
100,83410.5994193367
101,83410.5407341376
102,83411.1692810621
103,83411.3033602605
104,83411.5162096839
105,83411.3111493025
106,83413.0004587502
107,83413.2606093309
108,83412.1359010788
109,83412.2378248575
110,83409.8182461356
111,83409.8426068894
112,83410.3164362282
113,83410.2822277761
114,83410.1743574557
115,83410.6717342812
116,83410.1697759654
117,83409.6588661721
118,83411.3926691718
119,83411.8573576263
120,83409.8158307761
121,83409.3060482391
122,83407.5691949898
123,83408.6186969616
124,83409.3015746512
125,83408.6070282455
126,83408.5311889848
127,83406.2935845495
128,83407.0874526824
129,83408.9603788035
130,83407.9665219579
131,83406.4176439372
132,83410.5523338596
133,83406.5730045868
134,83401.8462959519
135,83401.7096883181
136,83403.1560242579
137,83405.4277218025
138,83404.2244517296
139,83403.1069919431
140,83406.3762371045
141,83406.1921903914
142,83405.4776314709
143,83404.6604760561
144,83404.8922472304
145,83405.691633914
146,83405.9653350778
147,83405.7942203601
148,83406.5800677617
149,83406.5662732567
150,83405.9386792224
151,83404.8555511648
152,83405.9752847333
153,83406.0788504238
154,83403.4114491987
155,83404.819319119
156,83405.8353881656
157,83399.5681019968
158,83401.9447713229
159,83405.6212047202
160,83404.9351270541
161,83404.4122917688
162,83406.1135448006
163,83406.1867469556
164,83407.5095753466
165,83407.3513317229
166,83407.6416273961
167,83407.7958481202
168,83408.4962430277
169,83408.1418176485
170,83409.9454645152
171,83410.3091045646
172,83412.148453268
173,83411.8670498349
174,83415.5575100665
175,83416.3980008747
176,83417.1246864368
177,83417.3262753153
178,83414.4806244996
179,83415.8551766331
180,83409.4607221535
181,83409.1526063688
182,83409.3846781671
183,83407.9953860714
184,83409.0307968651
185,83409.8889099394
186,83411.9144512738
187,83411.3470652523
188,83412.1017290735
189,83412.5755066601
190,83416.1484854939
191,83416.4342878437
192,83415.2659871652
193,83415.1208439024
194,83412.614715207
195,83412.4230481205
196,83417.2234932449
197,83417.2411585705
198,83410.6769428744
199,83410.0017225028
200,83408.2025270492
201,83409.5812483909
202,83406.2445831847
203,83404.5851160245
204,83406.1821187493
205,83408.7458148817
206,83411.3617212234
207,83410.3215905291
208,83413.5752651223
209,83415.4842529441
210,83425.1899817283
211,83424.6110947242
212,83424.8387694146
213,83425.4334707339
214,83429.5031174994
215,83429.3244718642
216,83415.0432697675
217,83416.2307890254
218,83413.7790785935
219,83413.5965337699
220,83415.9690621703
221,83412.6760427831
222,83413.0426767023
223,83427.480535532
224,83397.6442449461
225,83408.5068426599
226,83407.9495662352
227,83410.0772533763
228,83400.1761158589
229,83393.4080345699
230,83376.4901039454
231,83400.7351898969
232,83404.3318425855
233,83392.6506282007
234,83397.2267489286
235,83403.7679814775
236,83398.6924519647
237,83384.1052206904
238,83371.7998017784
239,83391.8966326166
240,83395.5889729737
241,83394.9428706154
242,83400.1060174926
243,83401.3117532691
244,83399.9405664407
245,83398.3854370857
246,83402.3535384694
247,83403.378826493
248,83402.9880256334
249,83402.7311582602
250,83405.5694221286
251,83405.199160916
252,83405.3078631859
253,83405.6103953515
254,83406.0342408557
255,83405.4430704346
256,83407.0541381578
257,83408.0565152442
258,83407.4574659016
259,83406.9431651257
260,83406.2726290135
261,83405.8112123714
262,83406.5235557425
263,83406.6752075608
264,83404.4352547166
265,83401.4165426535
266,83405.4204382199
267,83404.9653802612
268,83406.368466
269,83406.2803554362
270,83405.9690860025
271,83406.3722189683
272,83405.1691585477
273,83403.7898607447
274,83399.4261711454
275,83406.0670931038
276,83411.1390293397
277,83407.5196508798
278,83405.8708438479
279,83403.9715220557
280,83406.4100280836
281,83407.2304156578
282,83407.3346339871
283,83405.0971426688
284,83406.9555148931
285,83407.3073216059
286,83409.5637998151
287,83412.4442742162
288,83421.03440188
289,83408.0074098079
290,83404.211826753
291,83414.5193574484
292,83409.3405683384
293,83407.4596550605
294,83413.046425936
295,83412.5102567657
296,83419.4543839075
297,83432.8250619142
298,83458.8426876318
299,83429.6604780474
300,83421.9976465811
301,83454.3459762056
302,83377.8591707554
303,83400.1549378414
304,83400.6315590829
305,83404.0448591724
306,83399.0380678082
307,83380.7710672657
308,83455.767474055
309,83454.9068667685
310,83427.8106686931
311,83419.0049881991
312,83414.5219567948
313,83425.7254646062
314,83441.0316807638
315,83428.9594158015
316,83395.7889241239
317,83402.5647436772
318,83407.9863491491
319,83406.1644835709
320,83404.1235189381
321,83395.335973818
322,83407.2894607015
323,83409.7831737795
324,83411.7533460561
325,83412.0093027502
326,83409.2537848893
327,83407.965533521
328,83411.3230016537
329,83411.5306485385
330,83413.3118783458
331,83413.0336045933
332,83412.8861809971
333,83413.3399885791
334,83415.3521516873
335,83415.5155847491
336,83423.3918040612
337,83423.0073521053
338,83425.6687298107
339,83426.0295762005
340,83423.4525490041
341,83423.1078090802
342,83438.0433510045
343,83438.4038073731
344,83456.2801605433
345,83456.2376080307
346,83474.0849187253
347,83473.6917792457
348,83449.149457893
349,83449.7437073727
350,83459.5987733068
351,83458.9848148522
352,83432.0387008103
353,83433.8967998929
354,83416.2951865974
355,83415.4578387648
356,83411.4529029394
357,83423.0473939321
358,83415.0770606397
359,83410.7478557081
360,83390.8429349362
361,83392.296553285
362,83394.991527028
363,83390.9575131343
364,83392.118105661
365,83404.1848384449
366,83437.2405867862
367,83416.1089303147
368,83420.5298351945
369,83445.972702434
370,83433.5269152746
371,83416.1056648114
372,83398.9207691609
373,83387.1385590683
374,83431.4795354262
375,83404.0382195051
376,83391.3091389919
377,83391.8285540027
378,83379.4296991147
379,83383.7764380219
380,83392.6631607319
381,83389.7416059322
382,83389.9373045209
383,83392.1180820224
384,83399.1496144714
385,83398.0724545159
386,83397.4662968875
387,83397.8183079749
388,83402.3099247884
389,83402.2632125706
390,83402.2165914369
391,83402.170624658
392,83402.5583720519
393,83402.2444357954
394,83405.595974122
395,83405.4394717303
396,83405.7327733736
397,83405.7974815579
398,83408.4457140695
399,83407.4421498625
400,83408.0786029507
401,83409.3606484139
402,83407.6728848779
403,83407.0966985943
404,83406.8040139585
405,83406.6845148558
406,83406.9324499597
407,83407.3205739591
408,83407.1684400714
409,83406.7633636699
410,83407.2647450683
411,83407.3083776104
412,83407.2786385198
413,83407.3987219078
414,83407.763210766
415,83407.546510017
416,83407.3469098421
417,83407.5586080168
418,83407.7594129412
419,83406.6231899574
420,83406.0822120593
421,83406.4079133
422,83409.4369503668
423,83409.8481778167
424,83408.0947724971
425,83408.9078109959
426,83410.2612385483
427,83407.9384822804
428,83408.9527642649
429,83409.5359274635
430,83413.6518916206
431,83414.654950999
432,83413.1257439725
433,83417.1215068463
434,83395.7215339635
435,83407.4440880907
436,83413.9842619248
437,83409.8885954217
438,83416.1232816424
439,83417.9511549614
440,83420.6644384544
441,83418.7124080859
442,83425.7743538788
443,83427.2435250143
444,83426.1018622202
445,83425.8014012921
446,83420.0805214937
447,83422.2191174204
448,83418.8123294568
449,83416.9464530098
450,83390.8205513033
451,83406.3870961503
452,83417.9081014772
453,83430.5035467457
454,83428.4167275415
455,83408.6903914787
456,83414.6180350555
457,83432.9342626287
458,83440.4270968588
459,83446.3552531262
460,83431.9249066182
461,83434.9460355451
462,83441.3781025885
463,83437.9643811899
464,83441.9462793761
465,83443.526282882
466,83461.0583789649
467,83460.4578497101
468,83482.2876655069
469,83482.7476956062
470,83500.7270596093
471,83500.4126156644
472,83504.9194454332
473,83505.2472920692
474,83494.7799549217
475,83494.3601949573
476,83534.2169044511
477,83532.1698833709
478,83497.4070142486
479,83497.9750728075
480,83502.7823065603
481,83503.5195697949
482,83477.5238447827
483,83476.2138838025
484,83448.7841396672
485,83450.2723316824
486,83434.859740431
487,83433.6694895089
488,83415.074050344
489,83414.6432518069
490,83400.5310792238
491,83400.7882475375
492,83369.8309017654
493,83369.6455098005
494,83361.1334054296
495,83362.3635880793
496,83361.3472681962
497,83360.5145014603
498,83359.6436910496
499,83362.7194458687
500,83360.9081652785
501,83358.8588725247
502,83355.9680769711
503,83354.3607741831
504,83385.8201366418
505,83384.8436544768
506,83376.9674584716
507,83372.3372151497
508,83402.4331806184
509,83400.1875294708
510,83402.7548124482
511,83394.1844103384
512,83401.3310246084
513,83384.5455667765
514,83363.1294340086
515,83366.7101348023
516,83351.1130821475
517,83388.7537960867
518,83362.7146424854
519,83352.8704234096
520,83422.4194201112
521,83417.3835388322
522,83361.9678783452
523,83367.3900563503
524,83390.3737607161
525,83390.1013942095
526,83366.2805952006
527,83359.0501994797
528,83404.3872802529
529,83377.3573010881
530,83347.9639808239
531,83356.0603950693
532,83379.6982566369
533,83371.2288973457
534,83364.0307414421
535,83365.3065159072
536,83349.2848821438
537,83364.3218241928
538,83357.577771357
539,83351.0438458129
540,83349.816310056
541,83336.9542634699
542,83335.2493625095
543,83345.8411692376
544,83320.3438070295
545,83327.1698806674
546,83309.6131139898
547,83289.4469066132
548,83314.9234107518
549,83316.4949802334
550,83355.0651980971
551,83355.0008870482
552,83380.1268400924
553,83378.3878696196
554,83390.4324129119
555,83390.0192265075
556,83389.3850529152
557,83389.9225436954
558,83397.5515329851
559,83397.2415512069
560,83397.5017983356
561,83398.1803979494
562,83398.8946570282
563,83398.1332232843
564,83402.651060551
565,83403.0361975709
566,83403.5661041198
567,83403.5478759439
568,83406.6774586287
569,83406.2868790662
570,83406.8257681892
571,83407.0088378641
572,83407.9962097894
573,83407.4874167227
574,83408.4199000259
575,83407.7567633657
576,83406.6527679825
577,83407.5991448341
578,83405.8836230651
579,83404.8399819671
580,83407.3630907556
581,83408.1322110943
582,83405.0973000334
583,83404.4450313533
584,83382.0337295694
585,83403.7428466302
586,83418.8159718226
587,83403.7461677767
588,83397.7468605473
589,83423.7091073101
590,83450.7958449293
591,83473.1683588322
592,83474.5567752329
593,83452.2726131734
594,83449.2310189919
595,83472.0600999272
596,83464.7436582712
597,83445.2644220602
598,83444.3586489038
599,83460.533800244
600,83458.4870874874
601,83441.1377477674
602,83427.2793569063
603,83438.832261483
604,83429.2715698919
605,83429.7747105406
606,83427.3429330654
607,83427.4073439079
608,83430.2239288337
609,83428.4476184684
610,83437.2736472501
611,83438.1072681969
612,83440.8579091465
613,83438.6414022224
614,83446.2314709151
615,83455.8645997367
616,83454.8946310178
617,83451.4400136232
618,83447.7786454598
619,83446.6055696381
620,83451.5500365234
621,83453.0372704113
622,83479.8149867921
623,83477.6008678494
624,83512.3279846466
625,83511.9745662771
626,83542.6789513049
627,83544.8330020752
628,83553.5109049835
629,83550.7210284457
630,83607.9882379108
631,83609.3165588361
632,83593.942381022
633,83592.9835245279
634,83569.0359078266
635,83569.7881106631
636,83541.6971280602
637,83541.7852269303
638,83557.7196547314
639,83556.7329897539
640,83510.153808114
641,83510.9288663657
642,83472.0555515059
643,83470.759054079
644,83441.4096763849
645,83441.1214871453
646,83421.4790613458
647,83421.9433978274
648,83405.6976977744
649,83405.7295252508
650,83388.3186066311
651,83388.3263821649
652,83367.8418866657
653,83367.5707855886
654,83341.558530893
655,83341.6911379145
656,83331.1846111943
657,83330.8237967051
658,83330.2116891328
659,83331.5917968102
660,83330.8618062065
661,83330.0690342102
662,83330.7516869406
663,83333.1175519506
664,83334.0916079748
665,83332.5018179545
666,83333.5180240857
667,83333.2784704014
668,83330.9968022486
669,83334.8266248321
670,83354.42542417
671,83347.1468483413
672,83360.1122860063
673,83364.8530403038
674,83374.899930434
675,83368.7745055409
676,83360.6148383251
677,83349.6070972015
678,83362.7619227071
679,83376.0263175788
680,83376.6190258546
681,83362.113356874
682,83356.5648986827
683,83355.3165335047
684,83376.2078670427
685,83377.8043504625
686,83390.7798135913
687,83389.5349763275
688,83390.327368785
689,83391.7691245248
690,83392.3906226565
691,83391.4991330682
692,83399.1032774807
693,83399.4942862058
694,83400.8180534821
695,83400.4320380045
696,83402.9214369122
697,83403.5777470099
698,83398.3323982505
699,83396.9741971649
700,83399.542576376
701,83401.1140866309
702,83392.5760314171
703,83385.310148054
704,83393.5485890833
705,83402.1258006803
706,83420.3590684656
707,83442.9529958614
708,83415.3919761859
709,83421.2886359452
710,83441.0861521786
711,83454.4487198776
712,83418.1976480063
713,83413.6622688353
714,83420.1743170923
715,83430.055312348
716,83412.9868610063
717,83414.0699986577
718,83411.0572765837
719,83410.8855766334
720,83410.6107842671
721,83409.4597287079
722,83391.2292319523
723,83392.0647109532
724,83393.1812484075
725,83393.3854155342
726,83402.5260632518
727,83401.7032578301
728,83411.2289423878
729,83411.6260454704
730,83428.733940776
731,83428.1658298375
732,83451.7720399172
733,83452.6686154006
734,83491.2823169987
735,83492.3059797653
736,83548.7429970797
737,83546.53154417
738,83606.9084184809
739,83607.2017894192
740,83667.3259057745
741,83668.7705834063
742,83706.5308660066
743,83703.5269793289
744,83722.5127872275
745,83725.6403394772
746,83719.0239366122
747,83716.0758362082
748,83681.9241853675
749,83684.5235877163
750,83635.1779882332
